,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10664,Nebraska,31,224000,2513,31.1,Republicans,False,True,Republicans,False,True
10665,New Jersey,34,1018112,26285,22.7,Democrats,True,False,Democrats,True,False
10666,New York,36,2104622,52895,23.1,Democrats,True,False,Democrats,True,False
10667,North Carolina,37,1006658,13216,42.1,Republicans,False,True,Republicans,False,True
10668,Ohio,39,1104903,19980,32.0,Republicans,False,True,Republicans,False,True
10669,Oklahoma,40,453890,7316,46.5,Republicans,False,True,Republicans,False,True
10670,South Carolina,45,594225,9754,42.0,Republicans,False,True,Republicans,False,True
10671,Utah,49,407886,2313,30.3,Republicans,False,True,Republicans,False,True
10672,Vermont,50,24282,256,16.7,Democrats,True,False,Democrats,True,False
10673,West Virginia,54,162540,2821,46.1,Republicans,False,True,Republicans,False,True
10674,Wisconsin,55,675661,7965,29.7,Republicans,False,True,Republicans,False,True
10675,Alaska,2,69937,352,26.2,Republicans,False,True,Republicans,False,True
10676,Arizona,4,884609,17713,33.0,Republicans,False,True,Republicans,False,True
10677,California,6,3798225,63155,22.9,Democrats,True,False,Democrats,True,False
10678,Connecticut,9,348154,8255,18.9,Democrats,True,False,Democrats,True,False
10679,District of Columbia,11,49119,1137,18.5,Democrats,True,False,Democrats,True,False
10680,Indiana,18,750782,13696,35.9,Republicans,False,True,Republicans,False,True
10681,Iowa,19,372153,6078,34.2,Republicans,False,True,Republicans,False,True
10682,Kansas,20,316865,5136,32.4,Republicans,False,True,Republicans,False,True
10683,Kentucky,21,462341,7151,43.4,Republicans,False,True,Republicans,False,True
10684,Maryland,24,460952,9653,28.0,Democrats,True,False,Democrats,True,False
10685,Minnesota,27,603098,7562,23.5,Democrats,True,False,Democrats,True,False
10686,Mississippi,28,318578,7343,49.7,Republicans,False,True,Republicans,False,True
10687,Nebraska,31,224043,2515,31.1,Republicans,False,True,Republicans,False,True
10688,New Jersey,34,1018307,26295,22.7,Democrats,True,False,Democrats,True,False
10689,New York,36,2105081,52906,23.1,Democrats,True,False,Democrats,True,False
10690,North Carolina,37,1007015,13229,42.1,Republicans,False,True,Republicans,False,True
10691,Ohio,39,1105329,20021,32.0,Republicans,False,True,Republicans,False,True
10692,Oklahoma,40,453970,7316,46.5,Republicans,False,True,Republicans,False,True
10693,South Carolina,45,594345,9754,42.0,Republicans,False,True,Republicans,False,True
10694,Utah,49,408138,2316,30.3,Republicans,False,True,Republicans,False,True
10695,Vermont,50,24295,256,16.7,Democrats,True,False,Democrats,True,False
10696,West Virginia,54,162636,2822,46.1,Republicans,False,True,Republicans,False,True
10697,Wisconsin,55,675863,7981,29.7,Republicans,False,True,Republicans,False,True
10698,Alaska,2,70004,352,26.2,Republicans,False,True,Republicans,False,True
10699,Arizona,4,885042,17715,33.0,Republicans,False,True,Republicans,False,True
10700,California,6,3799174,63167,22.9,Democrats,True,False,Democrats,True,False
10701,Connecticut,9,348262,8257,18.9,Democrats,True,False,Democrats,True,False
10702,District of Columbia,11,49127,1137,18.5,Democrats,True,False,Democrats,True,False
10703,Indiana,18,751136,13708,35.9,Republicans,False,True,Republicans,False,True
10704,Iowa,19,372248,6084,34.2,Republicans,False,True,Republicans,False,True
10705,Kansas,20,317153,5139,32.4,Republicans,False,True,Republicans,False,True
10706,Kentucky,21,462648,7165,43.4,Republicans,False,True,Republicans,False,True
10707,Maryland,24,461079,9658,28.0,Democrats,True,False,Democrats,True,False
10708,Minnesota,27,603237,7570,23.5,Democrats,True,False,Democrats,True,False
10709,Mississippi,28,318685,7347,49.7,Republicans,False,True,Republicans,False,True
10710,Nebraska,31,224068,2516,31.1,Republicans,False,True,Republicans,False,True
10711,New Jersey,34,1018491,26309,22.7,Democrats,True,False,Democrats,True,False
10712,New York,36,2105507,52914,23.1,Democrats,True,False,Democrats,True,False
10713,North Carolina,37,1007567,13252,42.1,Republicans,False,True,Republicans,False,True
10714,Ohio,39,1105720,20021,32.0,Republicans,False,True,Republicans,False,True
10715,Oklahoma,40,454094,7325,46.5,Republicans,False,True,Republicans,False,True
10716,South Carolina,45,594574,9761,42.0,Republicans,False,True,Republicans,False,True
10717,Utah,49,408499,2318,30.3,Republicans,False,True,Republicans,False,True
10718,Vermont,50,24300,256,16.7,Democrats,True,False,Democrats,True,False
10719,West Virginia,54,162726,2846,46.1,Republicans,False,True,Republicans,False,True
10720,Wisconsin,55,675993,7995,29.7,Republicans,False,True,Republicans,False,True
10721,Alaska,2,70004,352,26.2,Republicans,False,True,Republicans,False,True
10722,Arizona,4,885412,17742,33.0,Republicans,False,True,Republicans,False,True
10723,California,6,3800222,63206,22.9,Democrats,True,False,Democrats,True,False
10724,Connecticut,9,348319,8260,18.9,Democrats,True,False,Democrats,True,False
10725,District of Columbia,11,49151,1137,18.5,Democrats,True,False,Democrats,True,False
10726,Indiana,18,751596,13710,35.9,Republicans,False,True,Republicans,False,True
10727,Iowa,19,372333,6095,34.2,Republicans,False,True,Republicans,False,True
10728,Kansas,20,317165,5139,32.4,Republicans,False,True,Republicans,False,True
10729,Kentucky,21,462901,7182,43.4,Republicans,False,True,Republicans,False,True
10730,Maryland,24,461201,9667,28.0,Democrats,True,False,Democrats,True,False
10731,Minnesota,27,603398,7577,23.5,Democrats,True,False,Democrats,True,False
10732,Mississippi,28,318879,7348,49.7,Republicans,False,True,Republicans,False,True
10733,Nebraska,31,224092,2516,31.1,Republicans,False,True,Republicans,False,True
10734,New Jersey,34,1018833,26322,22.7,Democrats,True,False,Democrats,True,False
10735,New York,36,2106056,52927,23.1,Democrats,True,False,Democrats,True,False
10736,North Carolina,37,1008036,13268,42.1,Republicans,False,True,Republicans,False,True
10737,Ohio,39,1106064,20021,32.0,Republicans,False,True,Republicans,False,True
10738,Oklahoma,40,454216,7325,46.5,Republicans,False,True,Republicans,False,True
10739,South Carolina,45,594659,9761,42.0,Republicans,False,True,Republicans,False,True
10740,Utah,49,408812,2319,30.3,Republicans,False,True,Republicans,False,True
10741,Vermont,50,24314,256,16.7,Democrats,True,False,Democrats,True,False
10742,West Virginia,54,162845,2848,46.1,Republicans,False,True,Republicans,False,True
10743,Wisconsin,55,676178,8007,29.7,Republicans,False,True,Republicans,False,True
10744,Alaska,2,70065,356,26.2,Republicans,False,True,Republicans,False,True
10745,Arizona,4,885834,17740,33.0,Republicans,False,True,Republicans,False,True
10746,California,6,3801205,63251,22.9,Democrats,True,False,Democrats,True,False
10747,Connecticut,9,348350,8261,18.9,Democrats,True,False,Democrats,True,False
10748,District of Columbia,11,49158,1137,18.5,Democrats,True,False,Democrats,True,False
10749,Indiana,18,751991,13714,35.9,Republicans,False,True,Republicans,False,True
10750,Iowa,19,372442,6097,34.2,Republicans,False,True,Republicans,False,True
10751,Kansas,20,317387,5140,32.4,Republicans,False,True,Republicans,False,True
10752,Kentucky,21,463090,7196,43.4,Republicans,False,True,Republicans,False,True
10753,Maryland,24,461315,9677,28.0,Democrats,True,False,Democrats,True,False
10754,Minnesota,27,603559,7589,23.5,Democrats,True,False,Democrats,True,False
10755,Mississippi,28,319115,7353,49.7,Republicans,False,True,Republicans,False,True
10756,Nebraska,31,224144,2517,31.1,Republicans,False,True,Republicans,False,True
10757,New Jersey,34,1019107,26324,22.7,Democrats,True,False,Democrats,True,False
10758,New York,36,2106742,52942,23.1,Democrats,True,False,Democrats,True,False
10759,North Carolina,37,1008457,13287,42.1,Republicans,False,True,Republicans,False,True
10760,Ohio,39,1106411,20091,32.0,Republicans,False,True,Republicans,False,True
10761,Oklahoma,40,454394,7325,46.5,Republicans,False,True,Republicans,False,True
10762,South Carolina,45,594805,9776,42.0,Republicans,False,True,Republicans,False,True
10763,Utah,49,409078,2319,30.3,Republicans,False,True,Republicans,False,True
10764,Vermont,50,24320,256,16.7,Democrats,True,False,Democrats,True,False
10765,West Virginia,54,162939,2849,46.1,Republicans,False,True,Republicans,False,True
10766,Wisconsin,55,676288,8013,29.7,Republicans,False,True,Republicans,False,True
10767,Alaska,2,70065,356,26.2,Republicans,False,True,Republicans,False,True
10768,Arizona,4,886404,17761,33.0,Republicans,False,True,Republicans,False,True
